;file;rule;runtime_profile;runtime_multiprofile;time_gains;time_gains_percent;length_gains;length_gains_percent;num_voters;num_sat;avg_vote_length;avg_vote_length_cat
325;poland_warszawa_2020_wilanow.pb;greedy_welfare;0.11914277076721191;0.16206026077270508;-0.042917490005493164;-0.36021900220322944;404;0.15538461538461534;2600;2196;8.33576923076923;8
326;poland_warszawa_2018_stare-bielany.pb;greedy_welfare;0.019513845443725586;0.009103536605834961;0.010410308837890625;0.5334832064706099;777;0.6448132780082987;1205;428;4.181742738589212;4
327;poland_warszawa_2018_mlynow.pb;greedy_welfare;0.05126070976257324;0.03194785118103027;0.01931285858154297;0.37675753361581;1210;0.5664794007490637;2136;926;4.24812734082397;4
328;poland_warszawa_2018_nowolipki-powazki.pb;greedy_welfare;0.03133964538574219;0.012299537658691406;0.01904010772705078;0.6075406244294321;1196;0.715311004784689;1672;476;2.9461722488038276;3
329;poland_warszawa_2018_grochow-poludniowy.pb;greedy_welfare;0.045502662658691406;0.029782772064208984;0.015719890594482422;0.3454718839729214;1213;0.5367256637168142;2260;1047;5.365044247787611;5
330;poland_warszawa_2020_bialoleka.pb;greedy_welfare;1.3704867362976074;2.005354166030884;-0.6348674297332764;-0.46324230138000555;2327;0.21634436593529194;10756;8429;9.167069542580885;9
331;poland_warszawa_2023_bielany.pb;greedy_welfare;0.5752444267272949;0.9605529308319092;-0.38530850410461426;-0.6698170137809554;585;0.11803874092009681;4956;4371;11.399919289749798;11
332;poland_warszawa_2019_marysin-wawerski-polnocny.pb;greedy_welfare;0.006548881530761719;0.0035195350646972656;0.003029346466064453;0.462574632299403;248;0.5890736342042755;421;173;4.2137767220902616;4
333;poland_warszawa_2018_rejon-5.pb;greedy_welfare;0.03433632850646973;0.018740177154541016;0.015596151351928711;0.4542172104682086;786;0.6111975116640747;1286;500;3.269828926905132;3
334;poland_warszawa_2018_czyste-mirow.pb;greedy_welfare;0.0034415721893310547;0.00017189979553222656;0.003269672393798828;0.9500519570488396;562;0.9590443686006827;586;24;2.6723549488054608;3
335;poland_warszawa_2019_kamionek.pb;greedy_welfare;0.005383729934692383;0.0006291866302490234;0.004754543304443359;0.8831318364997122;605;0.9043348281016442;669;64;3.334828101644245;3
336;poland_warszawa_2019_rakowiec.pb;greedy_welfare;0.0398104190826416;0.03126239776611328;0.00854802131652832;0.21471819472142872;663;0.4885777450257922;1357;694;7.253500368459838;7
337;poland_warszawa_2017_praga-poludnie.pb;greedy_welfare;0.3846147060394287;0.27374958992004395;0.11086511611938477;0.28824981046881615;3448;0.45578321216126905;7565;4117;4.297157964309319;4
338;poland_wroclaw_2021_.pb;greedy_welfare;7.315158367156982;0.007103681564331055;7.308054685592651;0.999028909395014;84534;0.9990899528430109;84611;77;1.0;1
