file;rule;profile_type;runtime;num_projects;num_projects_cat;num_voters;num_voters_cat;avg_vote_length;avg_vote_length_cat
poland_lodz_2020_julianow-marysin-rogi.pb;mes_cost_res;ApprovalMultiProfile;0.04500246047973633;15;20;535;1000;3.6317757009345795;4
poland_lodz_2020_baluty-doly.pb;seqphragmen_res;ApprovalProfile;0.27523112297058105;25;20;3031;3000;2.9630484988452657;3
poland_lodz_2020_baluty-doly.pb;seqphragmen_res;ApprovalMultiProfile;0.37005138397216797;25;20;1460;1000;3.8910958904109587;4
poland_lodz_2020_koziny.pb;maxwelfare_cost_res;ApprovalProfile;0.15902495384216309;9;10;1270;1000;2.473228346456693;2
poland_lodz_2020_koziny.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.01299905776977539;9;10;182;0;3.5714285714285716;4
poland_lodz_2020_julianow-marysin-rogi.pb;maxwelfare_cost_res;ApprovalProfile;0.19051551818847656;15;20;2255;2000;2.439911308203991;2
poland_lodz_2020_julianow-marysin-rogi.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.03750801086425781;15;20;535;1000;3.6317757009345795;4
poland_lodz_2020_lagiewniki.pb;maxwelfare_cost_res;ApprovalProfile;0.11051106452941895;5;0;435;0;2.2367816091954023;2
poland_lodz_2020_lagiewniki.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.003095388412475586;5;0;27;0;2.5555555555555554;3
poland_lodz_2020_chojny.pb;mes_cost_res;ApprovalProfile;0.34954285621643066;14;10;5376;5000;2.7526041666666665;3
poland_lodz_2020_chojny.pb;mes_cost_res;ApprovalMultiProfile;0.05150890350341797;14;10;759;1000;3.997364953886693;4
poland_lodz_2020_lublinek-pienista.pb;seqphragmen_res;ApprovalProfile;0.03960394859313965;10;10;1717;2000;2.765288293535236;3
poland_lodz_2020_lublinek-pienista.pb;seqphragmen_res;ApprovalMultiProfile;0.011904239654541016;10;10;198;0;3.621212121212121;4
poland_lodz_2020_lublinek-pienista.pb;greed_cost_res;ApprovalProfile;0.03500032424926758;10;10;1717;2000;2.765288293535236;3
poland_lodz_2020_lublinek-pienista.pb;greed_cost_res;ApprovalMultiProfile;0.005999565124511719;10;10;198;0;3.621212121212121;4
poland_lodz_2020_nad-nerem.pb;greed_cost_res;ApprovalProfile;0.009999752044677734;8;10;608;1000;1.730263157894737;2
poland_lodz_2020_nad-nerem.pb;greed_cost_res;ApprovalMultiProfile;0.0010001659393310547;8;10;58;0;2.8620689655172415;3
poland_lodz_2020_mileszki.pb;greed_cost_res;ApprovalProfile;0.01800084114074707;9;10;955;1000;2.22303664921466;2
poland_lodz_2020_mileszki.pb;greed_cost_res;ApprovalMultiProfile;0.0029990673065185547;9;10;120;0;3.2583333333333333;3
poland_lodz_2020_chojny-dabrowa.pb;seqphragmen_res;ApprovalProfile;0.33104872703552246;21;20;5220;5000;2.4308429118773947;2
poland_lodz_2020_chojny-dabrowa.pb;seqphragmen_res;ApprovalMultiProfile;0.2580239772796631;21;20;1425;1000;3.8750877192982456;4
poland_lodz_2020_mileszki.pb;seqphragmen_res;ApprovalProfile;0.016000032424926758;9;10;955;1000;2.22303664921466;2
poland_lodz_2020_mileszki.pb;seqphragmen_res;ApprovalMultiProfile;0.003999948501586914;9;10;120;0;3.2583333333333333;3
poland_lodz_2020_nad-nerem.pb;maxwelfare_cost_res;ApprovalProfile;0.018000125885009766;8;10;608;1000;1.730263157894737;2
poland_lodz_2020_nad-nerem.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.009000301361083984;8;10;58;0;2.8620689655172415;3
poland_lodz_2020_lublinek-pienista.pb;maxwelfare_cost_res;ApprovalProfile;0.08451151847839355;10;10;1717;2000;2.765288293535236;3
poland_lodz_2020_lublinek-pienista.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.013000249862670898;10;10;198;0;3.621212121212121;4
poland_lodz_2020_nr-33.pb;greed_cost_res;ApprovalProfile;0.0029108524322509766;5;0;237;0;1.4936708860759493;1
poland_lodz_2020_nr-33.pb;greed_cost_res;ApprovalMultiProfile;0.0;5;0;20;0;2.3;2
poland_lodz_2020_nad-nerem.pb;mes_cost_res;ApprovalProfile;0.018000125885009766;8;10;608;1000;1.730263157894737;2
poland_lodz_2020_nad-nerem.pb;mes_cost_res;ApprovalMultiProfile;0.002002716064453125;8;10;58;0;2.8620689655172415;3
poland_lodz_2020_mileszki.pb;mes_cost_res;ApprovalProfile;0.032000064849853516;9;10;955;1000;2.22303664921466;2
poland_lodz_2020_mileszki.pb;mes_cost_res;ApprovalMultiProfile;0.006003379821777344;9;10;120;0;3.2583333333333333;3
poland_lodz_2020_nad-nerem.pb;seqphragmen_res;ApprovalProfile;0.008910655975341797;8;10;608;1000;1.730263157894737;2
poland_lodz_2020_nad-nerem.pb;seqphragmen_res;ApprovalMultiProfile;0.0009999275207519531;8;10;58;0;2.8620689655172415;3
poland_lodz_2020_nr-33.pb;maxwelfare_cost_res;ApprovalProfile;0.007002592086791992;5;0;237;0;1.4936708860759493;1
poland_lodz_2020_nr-33.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0029997825622558594;5;0;20;0;2.3;2
poland_lodz_2020_nr-33.pb;seqphragmen_res;ApprovalProfile;0.0009999275207519531;5;0;237;0;1.4936708860759493;1
poland_lodz_2020_nr-33.pb;seqphragmen_res;ApprovalMultiProfile;0.0;5;0;20;0;2.3;2
poland_lodz_2020_nr-33.pb;mes_cost_res;ApprovalProfile;0.004000425338745117;5;0;237;0;1.4936708860759493;1
poland_lodz_2020_nr-33.pb;mes_cost_res;ApprovalMultiProfile;0.0009999275207519531;5;0;20;0;2.3;2
poland_lodz_2020_lublinek-pienista.pb;mes_cost_res;ApprovalProfile;0.07100296020507812;10;10;1717;2000;2.765288293535236;3
poland_lodz_2020_lublinek-pienista.pb;mes_cost_res;ApprovalMultiProfile;0.009999990463256836;10;10;198;0;3.621212121212121;4
poland_lodz_2020_nowosolna.pb;greed_cost_res;ApprovalProfile;0.014508724212646484;5;0;1442;1000;1.7787794729542303;2
poland_lodz_2020_nowosolna.pb;greed_cost_res;ApprovalMultiProfile;0.0010001659393310547;5;0;30;0;2.566666666666667;3
poland_lodz_2020_nowosolna.pb;seqphragmen_res;ApprovalProfile;0.010509252548217773;5;0;1442;1000;1.7787794729542303;2
poland_lodz_2020_nowosolna.pb;seqphragmen_res;ApprovalMultiProfile;0.0;5;0;30;0;2.566666666666667;3
poland_lodz_2020_chojny-dabrowa.pb;mes_cost_res;ApprovalProfile;0.46104931831359863;21;20;5220;5000;2.4308429118773947;2
poland_lodz_2020_chojny-dabrowa.pb;mes_cost_res;ApprovalMultiProfile;0.13802337646484375;21;20;1425;1000;3.8750877192982456;4
poland_lodz_2020_nowosolna.pb;mes_cost_res;ApprovalProfile;0.029000043869018555;5;0;1442;1000;1.7787794729542303;2
poland_lodz_2020_nowosolna.pb;mes_cost_res;ApprovalMultiProfile;0.00099945068359375;5;0;30;0;2.566666666666667;3
poland_lodz_2020_mileszki.pb;maxwelfare_cost_res;ApprovalProfile;0.09251284599304199;9;10;955;1000;2.22303664921466;2
poland_lodz_2020_mileszki.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.006999492645263672;9;10;120;0;3.2583333333333333;3
poland_lodz_2020_piastow-kurak.pb;seqphragmen_res;ApprovalProfile;0.02500009536743164;8;10;2079;2000;1.7532467532467533;2
poland_lodz_2020_piastow-kurak.pb;seqphragmen_res;ApprovalMultiProfile;0.005000114440917969;8;10;132;0;3.265151515151515;3
poland_lodz_2020_piastow-kurak.pb;greed_cost_res;ApprovalProfile;0.04000282287597656;8;10;2079;2000;1.7532467532467533;2
poland_lodz_2020_piastow-kurak.pb;greed_cost_res;ApprovalMultiProfile;0.002000093460083008;8;10;132;0;3.265151515151515;3
poland_lodz_2020_nowosolna.pb;maxwelfare_cost_res;ApprovalProfile;0.1280205249786377;5;0;1442;1000;1.7787794729542303;2
poland_lodz_2020_nowosolna.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0030002593994140625;5;0;30;0;2.566666666666667;3
poland_lodz_2020_karolew-retkinia-wschod.pb;greed_cost_res;ApprovalProfile;0.2465357780456543;26;30;3843;4000;2.654176424668228;3
poland_lodz_2020_karolew-retkinia-wschod.pb;greed_cost_res;ApprovalMultiProfile;0.11051154136657715;26;30;1353;1000;3.845528455284553;4
poland_lodz_2020_karolew-retkinia-wschod.pb;maxwelfare_cost_res;ApprovalProfile;0.2415330410003662;26;30;3843;4000;2.654176424668228;3
